sample1	sample2	Gene Abundance	Group	sample1	sample2	Genus Abundance	Group	sample1	sample2	Kos Abundance	Group
WHYCeC7R	WHYCeC5R	0.51494559	Mallards	WHYCeC7R	WHYCeC5R	0.225601336	Mallards	WHYCeC7R	WHYCeC5R	0.076442422	Mallards
WHYCeC6L	WHYCeC5R	0.499090848	Mallards	WHYCeC6L	WHYCeC5R	0.170483684	Mallards	WHYCeC6L	WHYCeC5R	0.078611464	Mallards
WHYCeC8	WHYCeC5R	0.878392111	Mallards	WHYCeC8	WHYCeC5R	0.353489698	Mallards	WHYCeC8	WHYCeC5R	0.18972367	Mallards
WNCeC1L	WHYCeC5R	0.769696441	Mallards	WNCeC1L	WHYCeC5R	0.307594455	Mallards	WNCeC1L	WHYCeC5R	0.100762951	Mallards
WNCeC2L	WHYCeC5R	0.877893054	Mallards	WNCeC2L	WHYCeC5R	0.503261012	Mallards	WNCeC2L	WHYCeC5R	0.167943072	Mallards
WNFCeC1L	WHYCeC5R	0.743878355	Mallards	WNFCeC1L	WHYCeC5R	0.233100984	Mallards	WNFCeC1L	WHYCeC5R	0.113072552	Mallards
WNFCeC2L	WHYCeC5R	0.928428369	Mallards	WNFCeC2L	WHYCeC5R	0.688274835	Mallards	WNFCeC2L	WHYCeC5R	0.346702445	Mallards
WNFCeC3L	WHYCeC5R	0.710790237	Mallards	WNFCeC3L	WHYCeC5R	0.300760159	Mallards	WNFCeC3L	WHYCeC5R	0.122520085	Mallards
WNFCeC4L	WHYCeC5R	0.806028556	Mallards	WNFCeC4L	WHYCeC5R	0.261178525	Mallards	WNFCeC4L	WHYCeC5R	0.111614423	Mallards
WFHCeC1L	WHYCeC5R	0.565362801	Mallards	WFHCeC1L	WHYCeC5R	0.319361157	Mallards	WFHCeC1L	WHYCeC5R	0.090536835	Mallards
WFHCeC2L	WHYCeC5R	0.812375165	Mallards	WFHCeC2L	WHYCeC5R	0.4548653	Mallards	WFHCeC2L	WHYCeC5R	0.134070947	Mallards
WFHCeC3L	WHYCeC5R	0.71737377	Mallards	WFHCeC3L	WHYCeC5R	0.40771853	Mallards	WFHCeC3L	WHYCeC5R	0.122978692	Mallards
WFHCeC4L	WHYCeC5R	0.565574647	Mallards	WFHCeC4L	WHYCeC5R	0.282684011	Mallards	WFHCeC4L	WHYCeC5R	0.087224579	Mallards
WFHCeC6L	WHYCeC5R	0.645467191	Mallards	WFHCeC6L	WHYCeC5R	0.333750646	Mallards	WFHCeC6L	WHYCeC5R	0.104287976	Mallards
WFHCeC11L	WHYCeC5R	0.584135677	Mallards	WFHCeC11L	WHYCeC5R	0.315590501	Mallards	WFHCeC11L	WHYCeC5R	0.091509816	Mallards
WFHCeC12L	WHYCeC5R	0.584507424	Mallards	WFHCeC12L	WHYCeC5R	0.299180943	Mallards	WFHCeC12L	WHYCeC5R	0.088046271	Mallards
WFHCeC13L	WHYCeC5R	0.654265443	Mallards	WFHCeC13L	WHYCeC5R	0.339163204	Mallards	WFHCeC13L	WHYCeC5R	0.105479176	Mallards
WFHCeC14L	WHYCeC5R	0.838093509	Mallards	WFHCeC14L	WHYCeC5R	0.461721099	Mallards	WFHCeC14L	WHYCeC5R	0.133523232	Mallards
WFHCeC16L	WHYCeC5R	0.841381399	Mallards	WFHCeC16L	WHYCeC5R	0.481534548	Mallards	WFHCeC16L	WHYCeC5R	0.140861323	Mallards
WFHCeC21L	WHYCeC5R	0.695049591	Mallards	WFHCeC21L	WHYCeC5R	0.343624689	Mallards	WFHCeC21L	WHYCeC5R	0.104287215	Mallards
WFHCeC22L	WHYCeC5R	0.785277355	Mallards	WFHCeC22L	WHYCeC5R	0.421305045	Mallards	WFHCeC22L	WHYCeC5R	0.127255268	Mallards
WFHCeC23L	WHYCeC5R	0.588916467	Mallards	WFHCeC23L	WHYCeC5R	0.229840898	Mallards	WFHCeC23L	WHYCeC5R	0.08143844	Mallards
WFHCeC24L	WHYCeC5R	0.910101337	Mallards	WFHCeC24L	WHYCeC5R	0.519281798	Mallards	WFHCeC24L	WHYCeC5R	0.151519547	Mallards
WFHCeC25L	WHYCeC5R	0.799569739	Mallards	WFHCeC25L	WHYCeC5R	0.394808841	Mallards	WFHCeC25L	WHYCeC5R	0.115888328	Mallards
WHYCeC1R	WHYCeC6R	0.648832593	Mallards	WHYCeC1R	WHYCeC6R	0.32153452	Mallards	WHYCeC1R	WHYCeC6R	0.088648046	Mallards
WHYCeC2R	WHYCeC6R	0.393225444	Mallards	WHYCeC2R	WHYCeC6R	0.162485352	Mallards	WHYCeC2R	WHYCeC6R	0.055705921	Mallards
WHYCeC3R	WHYCeC6R	0.492799287	Mallards	WHYCeC3R	WHYCeC6R	0.260748859	Mallards	WHYCeC3R	WHYCeC6R	0.068612601	Mallards
WHYCeC4R	WHYCeC6R	0.424071204	Mallards	WHYCeC4R	WHYCeC6R	0.249987019	Mallards	WHYCeC4R	WHYCeC6R	0.112721218	Mallards
WHYCeC5R	WHYCeC6R	0.422771862	Mallards	WHYCeC5R	WHYCeC6R	0.124930435	Mallards	WHYCeC5R	WHYCeC6R	0.055377617	Mallards
WHYCeC7R	WHYCeC6R	0.437947844	Mallards	WHYCeC7R	WHYCeC6R	0.187819748	Mallards	WHYCeC7R	WHYCeC6R	0.074375199	Mallards
WHYCeC6L	WHYCeC6R	0.307481422	Mallards	WHYCeC6L	WHYCeC6R	0.093581508	Mallards	WHYCeC6L	WHYCeC6R	0.059549434	Mallards
WHYCeC8	WHYCeC6R	0.873253879	Mallards	WHYCeC8	WHYCeC6R	0.348099962	Mallards	WHYCeC8	WHYCeC6R	0.194980723	Mallards
WNCeC1L	WHYCeC6R	0.754952327	Mallards	WNCeC1L	WHYCeC6R	0.264304599	Mallards	WNCeC1L	WHYCeC6R	0.105541965	Mallards
WNCeC2L	WHYCeC6R	0.877674854	Mallards	WNCeC2L	WHYCeC6R	0.471382364	Mallards	WNCeC2L	WHYCeC6R	0.161168532	Mallards
WNFCeC1L	WHYCeC6R	0.736468171	Mallards	WNFCeC1L	WHYCeC6R	0.200572738	Mallards	WNFCeC1L	WHYCeC6R	0.101862396	Mallards
WNFCeC2L	WHYCeC6R	0.922261574	Mallards	WNFCeC2L	WHYCeC6R	0.678046502	Mallards	WNFCeC2L	WHYCeC6R	0.351156284	Mallards
WNFCeC3L	WHYCeC6R	0.672139766	Mallards	WNFCeC3L	WHYCeC6R	0.26381027	Mallards	WNFCeC3L	WHYCeC6R	0.114801453	Mallards
