Sample1	Sample2	Gene Abundance	Group	sample1	sample2	Genus Abundance	Group	sample1	sample2	Kos Abundance	Group
SDQDuC2	MD70dduC7	0.991005894	Duodenum	SDQDuC2	MD70dduC7	0.959919966	Duodenum	SDQDuC2	MD70dduC7	0.996693557	Duodenum
SDQDuC3	MD70dduC7	0.994261092	Duodenum	SDQDuC3	MD70dduC7	0.979533184	Duodenum	SDQDuC3	MD70dduC7	0.996797816	Duodenum
SDQDuC4	MD70dduC7	0.990350562	Duodenum	SDQDuC4	MD70dduC7	0.946892658	Duodenum	SDQDuC4	MD70dduC7	0.995818557	Duodenum
SDQDuC5	MD70dduC7	0.989711636	Duodenum	SDQDuC5	MD70dduC7	0.935889542	Duodenum	SDQDuC5	MD70dduC7	0.992934791	Duodenum
SDQDuC7	MD70dduC7	0.994817555	Duodenum	SDQDuC7	MD70dduC7	0.972488879	Duodenum	SDQDuC7	MD70dduC7	0.996620849	Duodenum
WHYDuC1	MD70dduC7	0.987656004	Duodenum	WHYDuC1	MD70dduC7	0.905890976	Duodenum	WHYDuC1	MD70dduC7	0.987665096	Duodenum
WHYDuC2	MD70dduC7	0.991840975	Duodenum	WHYDuC2	MD70dduC7	0.934914028	Duodenum	WHYDuC2	MD70dduC7	0.993772888	Duodenum
WHYDuC6	MD70dduC7	0.988199621	Duodenum	WHYDuC6	MD70dduC7	0.90842654	Duodenum	WHYDuC6	MD70dduC7	0.992371048	Duodenum
WHYDuC7	MD70dduC7	0.988780441	Duodenum	WHYDuC7	MD70dduC7	0.926606628	Duodenum	WHYDuC7	MD70dduC7	0.993325164	Duodenum
WHYDuC8	MD70dduC7	0.990467341	Duodenum	WHYDuC8	MD70dduC7	0.948256884	Duodenum	WHYDuC8	MD70dduC7	0.995891195	Duodenum
MD70dduC1	PD70dduC1	0.990530909	Duodenum	MD70dduC1	PD70dduC1	0.834243217	Duodenum	MD70dduC1	PD70dduC1	0.988919498	Duodenum
MD70dduC2	PD70dduC1	0.992036931	Duodenum	MD70dduC2	PD70dduC1	0.81533129	Duodenum	MD70dduC2	PD70dduC1	0.975067532	Duodenum
MD70dduC3	PD70dduC1	0.99080059	Duodenum	MD70dduC3	PD70dduC1	0.71084689	Duodenum	MD70dduC3	PD70dduC1	0.909260939	Duodenum
MD70dduC4	PD70dduC1	0.993055906	Duodenum	MD70dduC4	PD70dduC1	0.81925534	Duodenum	MD70dduC4	PD70dduC1	0.963852174	Duodenum
MD70dduC5	PD70dduC1	0.99049282	Duodenum	MD70dduC5	PD70dduC1	0.828246376	Duodenum	MD70dduC5	PD70dduC1	0.99472875	Duodenum
MD70dduC7	PD70dduC1	0.991609703	Duodenum	MD70dduC7	PD70dduC1	0.841765118	Duodenum	MD70dduC7	PD70dduC1	0.990045903	Duodenum
PD70dduC2	PD70dduC1	0.220232142	Duodenum	PD70dduC2	PD70dduC1	0.575592121	Duodenum	PD70dduC2	PD70dduC1	0.890843065	Duodenum
