sample1	sample2	Gene Abundance	Group	sample1	sample2	Genus Abundance	Group	sample1	sample2	Kos Abundance	Group
MD7d_CeC_5	MD7d_CeC_8	0.337671107	D07	MD7d_CeC_5	MD7d_CeC_8	0.261906265	D07	MD7d_CeC_5	MD7d_CeC_8	0.116103613	D07
MD7d_CeC_6	MD7d_CeC_8	0.29286771	D07	MD7d_CeC_6	MD7d_CeC_8	0.142199762	D07	MD7d_CeC_6	MD7d_CeC_8	0.091552883	D07
MD7d_CeC_7	MD7d_CeC_8	0.314586252	D07	MD7d_CeC_7	MD7d_CeC_8	0.126422506	D07	MD7d_CeC_7	MD7d_CeC_8	0.09692745	D07
MD14d_CeC_2	MD14d_CeC_1	0.459757481	D14	MD14d_CeC_2	MD14d_CeC_1	0.148493609	D14	MD14d_CeC_2	MD14d_CeC_1	0.056233578	D14
MD14d_CeC_3	MD14d_CeC_1	0.688020216	D14	MD14d_CeC_3	MD14d_CeC_1	0.396657079	D14	MD14d_CeC_3	MD14d_CeC_1	0.162305555	D14
MD14d_CeC_4	MD14d_CeC_1	0.465949335	D14	MD14d_CeC_4	MD14d_CeC_1	0.115493643	D14	MD14d_CeC_4	MD14d_CeC_1	0.042816406	D14
MD14d_CeC_5	MD14d_CeC_1	0.466132293	D14	MD14d_CeC_5	MD14d_CeC_1	0.15169765	D14	MD14d_CeC_5	MD14d_CeC_1	0.057499465	D14
MD14d_CeC_6	MD14d_CeC_1	0.208823523	D14	MD14d_CeC_6	MD14d_CeC_1	0.010299166	D14	MD14d_CeC_6	MD14d_CeC_1	0.020417733	D14
MD14d_CeC_7	MD14d_CeC_1	0.46003559	D14	MD14d_CeC_7	MD14d_CeC_1	0.111644313	D14	MD14d_CeC_7	MD14d_CeC_1	0.041604076	D14
MD14d_CeC_8	MD14d_CeC_1	0.692059821	D14	MD14d_CeC_8	MD14d_CeC_1	0.40185259	D14	MD14d_CeC_8	MD14d_CeC_1	0.163647441	D14
MD14d_CeC_1	MD14d_CeC_2	0.459757481	D14	MD14d_CeC_1	MD14d_CeC_2	0.148493609	D14	MD14d_CeC_1	MD14d_CeC_2	0.056233578	D14
MD14d_CeC_3	MD14d_CeC_2	0.607298604	D14	MD14d_CeC_3	MD14d_CeC_2	0.338218804	D14	MD14d_CeC_3	MD14d_CeC_2	0.147607971	D14
MD14d_CeC_4	MD14d_CeC_2	0.511561777	D14	MD14d_CeC_4	MD14d_CeC_2	0.140747674	D14	MD14d_CeC_4	MD14d_CeC_2	0.061969771	D14
MD14d_CeC_5	MD14d_CeC_2	0.205630834	D14	MD14d_CeC_5	MD14d_CeC_2	0.009164718	D14	MD14d_CeC_5	MD14d_CeC_2	0.019033884	D14
MD14d_CeC_6	MD14d_CeC_2	0.456019016	D14	MD14d_CeC_6	MD14d_CeC_2	0.146405527	D14	MD14d_CeC_6	MD14d_CeC_2	0.056599445	D14
MD14d_CeC_7	MD14d_CeC_2	0.497867771	D14	MD14d_CeC_7	MD14d_CeC_2	0.138534844	D14	MD14d_CeC_7	MD14d_CeC_2	0.059894102	D14
MD14d_CeC_8	MD14d_CeC_2	0.613499661	D14	MD14d_CeC_8	MD14d_CeC_2	0.34273683	D14	MD14d_CeC_8	MD14d_CeC_2	0.149378353	D14
MD14d_CeC_1	MD14d_CeC_3	0.688020216	D14	MD14d_CeC_1	MD14d_CeC_3	0.396657079	D14	MD14d_CeC_1	MD14d_CeC_3	0.162305555	D14
